frame,read_decode_ms,resize_ms,bgr2rgb_ms,total_phase_ms
32,5.547699997201562,0.0,1.4737999998033047,7.02479999884963
33,11.55150000192225,0.0,1.6332000009715557,13.188800001516938
34,5.843799998983741,0.0,1.4804999977350235,7.3278999999165535
35,9.8125,0.0,1.498599998652935,11.324300000444055
36,11.28120000101626,0.0,1.4787999987602234,12.765200002118945
37,4.921899998560548,0.0,1.446399999782443,6.371300000697374
38,17.489699998870492,0.0,1.4976000003516674,18.994299998506904
39,10.49690000154078,0.0,1.4716000016778708,11.972800001502037
40,5.107300000265241,0.0,1.4128000009804964,6.523199999704957
41,8.802900003269315,0.0,1.511600000783801,10.319600000977516
42,10.705900000408292,0.0,1.7442999985069036,12.455099999904633
43,5.761900000274181,0.0,1.4846999999135733,7.24970000050962
44,29.442700000479817,0.0,1.6419999990612268,31.090500000864267
45,5.879400001838803,0.0,1.5038999989628792,7.38710000179708
46,10.700600000098348,0.0,1.6984000001102686,12.404899997636676
47,6.268399998545647,0.0,3.275000000372529,9.548299999907613
48,12.743800001218915,0.0,1.7550999987870455,14.505200002342463
49,10.318800000473857,0.0,1.5714999996125698,11.894600000232458
50,5.897300001233816,0.0,1.469200000166893,7.369699999690056
51,19.141900001093745,0.0,1.6577000003308058,20.80480000190437
52,11.998100001364946,0.0,1.4949999991804361,13.499900000169873
53,6.314300000667572,0.0,1.7110000010579824,8.029799999669194
54,11.75929999910295,0.0,1.5937000010162592,13.3581000007689
55,10.743499998003244,0.0,1.4470000006258488,12.194999998435378
56,10.442199999466538,0.0,1.5333999991416931,11.979800000786781
57,70.79749999940395,0.0,1.4752000011503696,72.27710000053048
58,5.941999999806285,0.0,1.7250999994575977,7.67369999922812
59,15.581900000572205,0.0,1.9827999994158745,17.573300000280142
60,6.674200000241399,0.0,1.8491999991238117,8.529799999669194
61,19.709199998527765,0.0,1.643699999898672,21.358799999579787
62,6.8306000009179115,0.0,1.6627999991178513,8.506400000303984
63,14.429399998858571,0.0,2.012900000438094,16.450299998745322
64,8.801699999719858,0.0,1.8500999994575977,10.658399999141693
65,25.25879999808967,0.0,1.3698999993503094,26.633599998429418
66,4.944400001317263,0.0,1.244599999859929,6.191899999976158
67,8.274699999019504,0.0,4.315799999982119,12.594299998134375
68,5.307700000703335,0.0,1.1553000006824732,6.465800002217293
69,8.978199999779463,0.0,1.2832999993115664,10.265900000929832
70,8.09379999898374,0.0,1.535299999639392,9.634000001475215
71,4.650499997660518,0.0,1.3013000003993511,5.954899998381734
72,25.9391999989748,0.0,1.4843000005930662,27.42789999768138
73,4.690399998798966,0.0,1.2768999990075827,5.96989999897778
74,10.243900001049042,0.0,1.3780000004917383,11.626800000667572
75,4.90570000000298,0.0,1.3418000023812056,6.250100001692772
76,13.99379999935627,0.0,1.7141999993473291,15.712799998000264
77,4.787999998778105,0.0,1.1757999993860722,5.967399999499321
78,10.473399998620152,0.0,1.5735999997705221,12.05179999768734
79,4.6229999996721745,0.0,1.6164000015705824,6.2427000012248755
80,20.841099999845028,0.0,1.9887000005692244,22.835100000724196
81,4.979200001806021,0.0,1.5364000014960766,6.523199999704957
82,11.485299998894334,0.0,1.7510000001639128,13.241100000217557
83,5.385800000280142,0.0,1.4474999997764826,6.837199999019504
84,12.783999998122454,0.0,1.6492999996989965,14.443399999290705
85,9.615000000223517,0.0,1.6962999999523163,11.315899999812245
86,9.838200001046062,0.0,1.5225999988615513,11.366600001230836
87,46.1634000018239,0.0,1.7354000005871058,47.90410000085831
88,11.446900000795722,0.0,2.0182000007480383,13.470500001683831
89,7.423800000920892,0.0,1.4010000005364418,8.829300001263618
90,9.71279999986291,0.0,1.198700001463294,10.915999999269843
91,8.127800000831485,0.0,1.8124999981373549,9.945000000298023
92,5.270100001245737,0.0,1.5515000000596046,6.824700001627207
93,14.402400000020862,0.0,1.28969999961555,15.696899998933077
94,7.9842000007629395,0.0,1.1939000003039837,9.18190000206232
95,4.412000000476837,0.0,1.3584000021219254,5.772700000554323
96,9.820199998095632,0.0,1.300400000065565,11.12559999898076
97,8.296599999070168,0.0,1.3610000014305115,9.661799998953938
98,7.8507000003010035,0.0,1.3259999994188547,9.181099999696016
99,94.99819999933243,0.0,1.5872000008821487,96.5926999989897
100,6.61289999820292,0.0,1.3765000011771917,7.99239999987185
101,9.624300001189113,0.0,1.920099999755621,11.548899998888373
